Age,Income,NumPurchases,Calls,Churn
22,820,62,10,1
18,125,62,12,0
39,428,8,9,0
34,126,75,8,1
35,694,81,5,0
45,860,95,7,0
20,142,12,1,0
64,446,75,13,0
48,964,17,2,0
41,750,7,8,0
18,762,78,5,0
53,604,22,8,0
29,158,28,12,0
43,38,57,5,1
19,795,82,4,1
52,134,71,12,0
29,974,83,5,0
20,235,11,4,0
53,233,70,12,1
22,206,4,7,0
54,667,25,3,0
30,429,99,8,1
42,676,82,14,0
50,211,52,10,0
28,124,47,7,0
27,451,27,8,1
52,923,48,6,1
22,283,75,2,1
46,840,16,11,0
27,718,52,6,0
25,520,11,14,1
38,985,37,4,0
58,821,58,5,0
50,484,56,12,0
21,500,77,6,0
52,539,89,9,1
59,620,65,8,1
61,450,83,9,0
43,386,27,1,1
47,476,28,11,0
44,759,72,12,0
39,542,93,11,0
39,46,42,13,0
58,7,92,5,0
28,912,82,4,0
45,571,65,6,1
25,515,17,8,1
49,55,40,2,0
53,335,54,3,0
52,901,64,2,0
64,697,64,9,0
60,526,8,9,0
36,584,19,13,0
41,176,25,11,1
21,384,41,9,0
24,207,92,12,1
42,103,4,7,0
24,639,84,14,0
62,80,20,12,0
41,913,43,9,0
54,26,13,10,0
39,296,96,1,0
32,220,27,8,0
37,72,20,8,1
39,794,63,9,0
58,517,28,5,0
37,124,66,2,0
39,365,97,3,0
45,772,35,2,0
60,807,74,6,0
24,446,92,4,1
34,956,65,8,1
34,97,2,14,0
62,75,33,10,1
32,197,18,14,1
57,953,47,11,1
46,850,67,4,0
49,246,10,5,0
35,785,66,4,0
51,989,4,13,0
23,529,47,5,1
31,527,3,8,0
26,418,49,3,0
18,99,89,2,0
27,408,71,11,0
22,8,85,11,0
64,286,71,6,0
24,736,80,3,0
62,517,37,10,0
61,907,36,1,0
41,17,70,6,0
43,585,22,1,0
38,429,35,14,0
39,409,44,4,0
42,963,31,9,1
54,548,48,2,0
46,646,8,5,1
41,949,60,10,0
54,491,82,8,0
45,762,70,5,0
36,132,5,12,0
43,913,76,9,0
40,683,57,13,0
41,661,48,6,0
58,798,17,13,0
42,856,67,1,0
51,844,13,1,1
26,733,30,9,0
27,405,46,10,0
62,809,12,7,1
23,322,47,5,0
46,265,83,14,1
39,617,24,10,1
60,128,86,1,0
42,852,70,8,0
40,21,97,4,0
42,974,20,10,0
22,236,92,8,0
60,697,63,1,0
52,588,93,1,0
46,972,82,7,0
53,778,30,10,0
35,238,36,8,1
44,198,72,13,0
49,858,52,10,0
51,109,88,9,0
45,899,13,14,0
48,967,37,9,0
38,188,15,13,1
23,37,63,11,0
34,222,99,3,0
53,905,89,1,0
38,383,25,8,0
44,443,81,9,0
62,276,11,9,0
41,862,39,10,0
51,200,86,11,0
61,808,55,13,0
52,77,58,10,0
41,49,99,14,0
33,836,22,9,0
27,146,65,3,1
21,827,92,2,0
51,879,34,10,0
64,510,13,7,0
40,296,60,14,1
60,417,8,8,1
27,514,84,11,1
30,410,82,2,1
31,565,3,8,0
58,780,10,3,0
48,976,96,3,0
46,12,75,7,1
39,566,58,14,0
63,674,50,2,1
24,467,41,12,0
49,834,88,9,0
48,20,60,10,1
25,400,11,4,1
63,30,72,11,1
44,797,16,5,1
41,337,28,1,0
19,284,47,14,0
27,323,78,2,1
61,281,53,5,1
43,674,83,2,0
59,175,97,11,1
51,772,80,12,1
24,235,18,3,0
61,259,61,14,1
37,855,26,9,0
34,62,73,7,0
61,705,7,10,0
51,651,24,12,0
43,664,36,9,1
41,926,34,7,0
58,91,86,12,0
46,103,7,3,0
53,28,66,11,1
52,865,12,6,0
49,531,1,2,0
49,359,26,12,0
50,855,65,6,1
45,705,91,11,0
34,442,63,13,0
24,28,86,4,1
57,719,54,9,0
22,356,57,3,1
27,337,43,14,0
54,76,18,5,1
24,57,2,6,0
34,576,90,3,0
54,168,89,10,0
40,52,52,5,0
50,492,50,11,0
38,344,28,11,0
61,872,38,2,0
46,578,92,2,0
40,644,31,11,1
37,181,86,2,0
29,245,8,14,1
24,582,90,9,0
41,824,48,6,1
51,590,49,4,0
32,115,87,11,0
54,18,73,5,0
23,493,40,2,0
19,593,93,1,0
49,435,64,14,1
42,662,32,14,1
50,371,74,8,0
20,348,90,13,0
57,391,81,8,0
46,7,58,7,0
62,849,12,13,0
32,366,69,12,0
45,335,78,6,0
31,748,22,1,0
18,779,43,8,0
26,260,89,1,1
44,93,57,1,1
42,71,45,4,1
35,254,83,8,0
58,390,17,5,1
40,490,63,9,1
34,910,98,8,1
64,916,41,6,0
20,497,58,6,0
51,96,47,1,1
43,269,63,3,1
43,810,15,10,0
31,641,14,12,1
27,674,52,13,1
55,613,93,7,1
42,817,10,2,0
20,53,8,2,0
63,999,98,6,0
31,718,13,2,0
55,170,37,6,0
23,297,10,14,0
18,927,12,8,0
35,643,15,8,0
53,831,73,11,1
55,79,70,11,1
30,964,99,1,0
29,373,41,1,1
44,429,36,14,1
39,931,31,1,1
20,588,40,3,0
49,910,24,13,0
50,479,79,1,0
61,923,54,13,1
28,623,26,12,0
25,145,51,1,1
45,713,31,10,0
27,794,19,7,1
26,335,50,7,0
35,977,32,7,1
58,171,54,3,0
23,38,65,10,0
54,27,56,5,0
35,648,25,2,1
51,576,13,6,0
45,464,83,12,1
29,806,42,11,0
58,401,92,9,0
44,453,16,8,0
19,787,45,12,0
51,827,67,13,0
46,158,3,9,0
44,603,73,4,0
53,303,4,10,0
21,504,2,13,0
58,856,67,13,0
31,205,84,6,0
41,189,93,10,0
60,104,70,9,1
52,704,13,8,0
41,687,28,12,0
19,919,43,14,0
45,241,40,3,0
38,25,84,7,0
24,814,73,9,1
28,352,90,6,0
53,937,10,1,0
57,51,62,1,1
26,350,87,3,0
27,982,38,11,1
28,606,85,10,0
26,196,59,5,1
59,488,49,6,0
52,662,77,9,0
28,663,10,3,1
42,937,93,5,1
58,843,69,7,1
22,439,75,1,1
59,650,37,2,0
25,204,87,12,0
54,752,41,7,1
28,511,70,6,0
47,590,74,12,1
63,919,69,13,0
36,658,82,8,0
28,724,31,12,0
58,308,66,14,1
42,890,9,14,0
25,320,78,1,1
32,646,81,4,0
58,640,78,10,0
28,782,17,13,1
27,69,40,2,0
32,316,63,5,0
64,912,56,4,1
31,350,17,5,0
25,191,87,8,1
23,584,3,9,0
24,727,79,6,1
31,232,99,6,0
27,680,23,4,1
44,26,20,12,1
41,754,46,1,0
62,389,13,5,0
24,751,96,7,1
19,780,40,7,0
34,970,18,7,0
40,418,81,10,0
51,277,70,13,0
56,510,7,7,0
64,853,16,2,0
55,825,3,14,0
50,634,3,13,0
54,593,35,4,1
35,684,85,7,0
58,323,95,5,0
52,712,63,10,0
23,121,59,11,0
43,711,5,6,1
56,577,28,8,0
49,609,38,4,1
19,183,60,4,1
31,179,69,14,0
64,893,9,10,1
40,876,18,7,0
18,472,13,6,1
48,958,39,4,0
48,599,32,11,1
47,445,91,3,0
24,476,35,10,0
41,887,68,11,0
24,514,77,10,0
26,982,19,12,0
59,516,98,10,0
59,323,84,7,0
35,546,65,12,0
37,993,30,13,1
21,626,1,6,1
54,998,87,6,1
43,543,59,13,0
43,482,69,5,0
52,197,8,1,1
47,100,3,7,0
62,423,16,6,1
51,80,40,11,1
33,815,17,3,0
27,122,69,10,0
63,804,23,10,0
54,629,19,11,1
61,987,90,9,0
47,358,81,13,0
28,246,74,5,0
58,85,82,12,0
62,825,77,5,0
41,539,62,2,0
36,357,21,8,0
48,657,56,7,1
48,590,37,7,0
51,489,88,8,0
60,442,21,1,0
30,575,40,7,1
37,694,25,13,0
21,370,14,6,0
60,343,3,11,1
26,776,34,7,0
21,860,36,6,0
30,748,46,3,0
58,876,53,7,0
47,186,18,2,0
50,673,51,6,0
48,374,97,4,0
52,206,23,13,1
18,4,27,4,0
35,293,37,5,0
51,628,76,8,0
61,254,97,5,0
63,806,42,9,0
53,587,30,2,0
35,26,10,1,0
53,348,22,3,1
53,850,75,2,1
41,222,4,4,0
56,184,8,3,0
59,454,56,1,0
43,105,79,13,0
28,211,58,7,0
43,740,69,11,0
22,686,63,11,0
26,928,16,2,0
59,168,94,2,0
45,510,38,7,0
31,428,42,1,0
21,367,73,14,0
35,965,71,8,0
56,193,24,9,0
39,731,13,6,1
44,524,25,14,0
49,67,21,8,0
29,628,42,13,0
26,126,3,9,1
49,700,41,6,0
61,171,92,4,1
20,602,15,9,0
54,975,72,6,0
51,809,54,7,0
52,544,92,2,0
27,81,76,9,0
19,954,42,14,0
46,273,91,11,0
47,73,46,7,0
41,122,34,11,0
37,108,0,2,1
22,508,45,11,0
45,567,75,4,0
55,314,18,2,1
39,857,43,6,0
21,315,72,14,0
60,559,66,11,0
31,972,97,14,1
38,701,65,5,0
56,879,63,3,0
48,64,28,12,0
64,158,22,1,0
34,12,8,6,0
52,305,37,8,1
38,317,7,9,0
49,34,29,11,1
20,929,34,12,0
38,615,60,12,0
25,99,8,6,0
43,810,87,6,0
52,811,52,13,0
42,447,21,1,1
47,146,39,10,1
53,930,93,2,0
63,711,38,8,1
41,499,10,1,0
57,898,27,8,0
51,778,30,12,1
26,806,72,13,1
50,144,25,6,1
24,534,59,10,1
37,470,56,6,0
48,77,31,14,0
20,33,22,1,0
64,364,87,5,0
18,102,89,4,0
33,640,4,7,0
59,303,93,3,1
49,314,58,4,0
45,451,73,5,0
57,927,87,7,1
55,522,25,4,0
18,818,25,10,0
63,487,42,14,0
25,661,69,6,0
31,142,4,9,0
19,260,49,1,0
50,693,62,12,1
45,809,49,8,1
28,499,59,8,0
58,802,51,2,1
56,998,40,7,1
23,335,70,7,0
32,685,76,9,0
40,4,2,6,1
28,272,49,12,0
52,225,38,2,1
24,701,47,9,1
62,560,11,13,0
60,711,16,10,1
62,883,73,12,1
55,263,23,13,0
34,994,77,2,0
61,65,51,4,1
29,305,79,2,0
20,238,43,7,1
19,574,75,12,0
22,880,62,5,0
18,542,15,8,0
61,760,14,14,1
30,201,70,9,0
57,318,61,12,1
64,336,5,11,0
63,971,86,10,0
50,979,64,5,0
19,547,13,10,0
56,477,82,6,0
39,69,47,1,1
43,448,48,4,0
49,975,50,2,0
61,884,38,5,1
29,749,90,11,1
32,129,1,9,1
44,980,87,2,1
35,836,17,14,0
27,24,89,9,0
61,501,19,6,0
62,263,4,6,0
33,101,85,14,0
48,603,43,5,0
63,916,29,7,0
19,521,12,12,0
43,503,98,1,0
37,744,47,10,0
63,913,14,3,0
35,27,73,13,0
51,569,14,4,1
26,36,80,7,0
44,895,80,5,0
21,321,69,10,0
60,583,5,12,1
20,921,81,2,0
21,34,50,10,1
22,252,66,11,0
42,161,81,13,0
60,774,72,13,0
52,512,4,8,1
46,321,2,4,0
35,39,78,14,1
44,791,57,13,0
35,918,75,14,0
29,475,33,2,1
19,207,36,7,0
43,997,60,6,0
40,790,9,2,1
31,144,65,12,0
55,843,54,13,0
59,574,48,11,0
32,519,42,5,1
58,892,13,2,0
35,758,21,1,0
43,800,86,1,0
44,955,99,13,1
61,135,4,5,1
24,716,51,9,1
19,414,63,1,1
58,220,22,10,0
54,597,73,10,1
54,241,12,10,0
47,378,92,1,0
60,119,82,2,0
45,955,43,6,0
60,711,90,10,0
35,20,30,4,0
62,509,97,5,0
58,325,88,3,0
21,787,6,2,0
62,32,4,3,0
64,499,56,2,1
44,969,92,1,0
26,418,71,13,0
53,865,16,4,0
23,610,2,7,0
46,369,21,6,0
26,651,74,9,0
47,159,23,9,0
53,502,0,12,0
25,199,32,11,1
51,42,84,4,0
30,496,19,5,0
28,100,92,3,1
40,795,82,12,0
64,509,87,10,0
31,633,76,13,0
23,75,56,3,0
46,21,5,12,0
20,288,11,13,0
58,375,8,1,1
31,334,52,11,1
19,298,95,14,0
18,277,61,1,1
27,428,82,10,0
30,746,22,3,1
18,941,55,4,0
43,661,22,8,0
21,327,57,10,0
40,838,38,1,0
54,221,39,13,0
28,186,24,1,1
29,909,78,2,0
21,642,18,5,1
36,962,56,3,0
30,390,81,13,1
46,133,62,13,0
34,866,15,3,0
19,460,20,14,0
60,408,18,10,0
32,451,96,11,0
28,91,66,3,0
63,100,22,1,0
21,374,93,13,1
55,359,25,11,0
21,383,58,7,0
33,945,59,2,1
41,192,40,5,0
40,972,30,4,0
20,463,18,14,1
33,83,11,13,0
44,173,3,2,1
23,700,2,13,0
57,328,46,2,0
40,736,0,12,0
25,754,65,5,1
18,234,68,9,0
49,741,46,5,1
57,961,0,7,1
38,182,57,14,0
64,786,3,12,1
37,860,68,9,0
28,38,92,3,0
28,317,44,7,1
49,602,5,9,0
32,832,55,6,0
20,893,52,8,1
38,855,72,3,0
39,305,14,13,0
31,280,36,11,0
64,412,88,2,0
47,217,64,9,1
56,715,18,10,0
27,962,14,1,0
56,544,92,6,0
43,687,21,6,0
48,122,64,10,0
33,277,63,6,0
55,676,64,1,0
24,468,28,7,1
50,266,52,4,0
18,10,0,13,0
42,627,64,9,1
49,222,30,6,0
55,943,18,9,0
62,192,48,9,1
62,900,9,11,0
49,109,38,14,0
47,766,92,4,0
36,434,64,2,0
57,217,64,1,0
26,874,86,14,0
23,22,70,10,1
34,596,30,2,0
19,354,86,7,1
28,845,32,10,0
19,20,59,4,0
61,356,75,7,0
19,138,16,12,0
51,453,77,12,1
63,522,95,7,1
27,717,50,4,0
43,936,81,11,0
23,918,63,6,1
19,56,44,13,0
44,848,69,7,0
33,983,11,6,0
50,973,91,7,1
34,387,51,13,0
23,338,84,13,0
41,198,98,2,1
46,550,47,13,0
44,253,55,3,0
32,629,64,4,0
58,535,99,5,0
58,163,7,1,0
20,460,29,7,0
22,685,42,14,1
57,128,98,9,1
50,821,66,8,0
49,139,73,13,0
32,9,95,1,0
63,880,15,9,0
39,988,84,13,0
36,803,37,3,1
23,915,66,9,0
51,875,13,12,1
44,59,16,4,0
41,12,48,1,0
27,327,47,3,0
36,797,82,11,0
31,157,39,5,0
27,61,94,7,0
60,944,43,4,1
52,83,63,11,0
49,398,21,14,0
32,987,68,6,0
37,776,90,13,1
49,954,64,11,0
19,708,69,9,0
18,839,85,11,1
45,620,26,13,0
20,909,21,11,0
51,928,22,9,0
20,47,53,11,0
34,86,4,13,0
46,725,35,14,0
36,414,48,4,0
44,897,38,13,0
38,88,43,14,0
64,20,70,11,1
54,87,3,5,0
45,620,23,1,1
37,387,78,5,0
41,606,20,14,0
56,157,19,11,0
35,481,32,13,1
57,558,20,12,1
22,699,12,7,1
60,957,93,9,0
22,878,42,13,0
63,112,90,11,0
53,871,52,13,0
35,556,18,14,0
39,417,86,14,0
21,15,63,8,0
53,840,27,8,0
21,684,17,4,1
58,879,93,3,0
25,133,43,11,0
60,161,32,1,1
54,75,90,4,0
33,972,63,2,1
44,587,29,1,0
38,904,89,9,0
50,202,4,9,0
26,218,52,5,0
44,700,55,5,0
63,750,69,14,0
37,483,99,1,1
38,467,96,7,0
42,576,70,12,0
40,669,94,10,1
43,5,7,7,1
53,979,38,12,1
57,997,60,8,0
25,390,76,5,1
25,183,57,6,0
62,591,82,3,1
30,508,58,11,0
22,20,50,12,0
30,85,37,11,0
37,482,58,5,1
23,159,85,7,0
46,193,60,5,0
30,18,18,11,1
27,91,94,9,1
34,821,92,8,1
52,997,83,3,0
47,960,83,3,0
27,297,82,7,0
51,92,52,2,0
55,302,92,7,0
25,901,74,14,0
57,775,0,5,0
57,842,62,2,0
20,673,42,7,0
28,84,12,7,1
64,323,76,8,1
57,801,76,7,0
62,92,61,7,0
32,616,54,12,0
62,200,60,3,0
62,907,50,12,1
22,731,2,11,0
21,444,40,4,0
59,899,90,1,0
56,526,86,12,0
59,923,58,13,0
61,865,22,14,0
56,660,46,3,0
47,14,15,3,1
18,226,59,13,1
48,951,22,7,1
54,244,44,11,0
50,819,14,2,1
45,218,4,4,0
31,344,64,14,0
50,354,96,14,0
50,24,96,10,0
60,89,54,8,1
42,76,84,8,1
37,737,60,5,0
57,515,17,5,0
42,335,99,10,1
41,937,72,12,1
45,841,6,1,0
49,987,53,5,1
56,947,80,14,1
35,828,78,13,0
29,674,44,5,0
53,743,92,9,0
43,923,68,1,1
43,153,61,6,0
38,594,36,1,0
20,212,62,11,1
42,622,81,3,0
58,453,53,1,1
35,366,14,8,0
27,705,24,1,0
61,78,56,4,1
42,286,88,2,1
19,679,39,4,0
49,573,38,5,0
26,821,85,1,1
58,799,91,6,1
55,832,90,3,0
50,872,0,4,0
38,152,7,2,0
35,887,32,11,1
32,901,20,12,0
19,207,22,5,0
42,664,95,7,0
25,680,73,3,1
37,487,28,6,0
30,856,8,14,1
64,864,43,2,0
46,67,84,10,1
45,110,50,6,0
22,646,69,4,1
57,211,3,3,1
20,335,10,14,1
40,108,45,13,0
49,275,49,7,0
18,47,81,12,0
22,571,70,1,0
37,147,82,6,0
35,553,99,10,1
50,712,55,5,0
32,509,4,2,0
39,84,5,3,0
57,170,18,13,0
60,910,95,10,0
30,980,88,11,0
28,155,45,8,0
51,112,67,3,0
56,208,49,11,1
52,614,87,2,0
53,336,50,2,0
43,226,31,4,1
34,481,33,12,1
45,232,56,7,0
51,640,17,6,0
49,12,2,14,0
37,367,12,6,0
60,727,61,14,0
41,882,26,3,0
34,660,95,9,0
21,919,93,11,1
60,339,7,5,0
34,217,94,5,1
23,323,89,9,1
21,974,0,12,0
62,974,67,7,0
23,674,43,1,1
59,614,3,10,1
31,807,47,9,0
58,963,24,10,1
59,180,85,9,1
